name,inner_description,outer_short_description,website,logo_url
Solumar,"   The most cost-efficient solutions for direct Air, Gas, and Carbon emissions removal and compliance with Agenda 2050.
Website",Novel exhaust gas filtering technology reducing emissions significantly.,https://www.solumar.org/,"https://static.wixstatic.com/media/080e50_621e1bc62cce4de0bba2f2a990eb710d~mv2.png/v1/fill/w_118,h_86,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/080e50_621e1bc62cce4de0bba2f2a990eb710d~mv2.png"
Futugrid,"    Futugrid develops smart devices and a platform to make your energy use support a stable grid.
Website",Smart solutions for electrical grid stability.,https://futugrid.com/,"https://static.wixstatic.com/media/080e50_8a141293ab2047ae8a4fb50683d9408a~mv2.png/v1/fill/w_118,h_34,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/080e50_8a141293ab2047ae8a4fb50683d9408a~mv2.png"
WinGo,"  An AI-enhanced tech company that helps collect more trash to recycle.
Website",The best resource collection technology in the world.,https://www.wingo.lv/,"https://static.wixstatic.com/media/080e50_31e37bc4941a4cfa9d643590faaaca03~mv2.png/v1/fill/w_109,h_38,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/080e50_31e37bc4941a4cfa9d643590faaaca03~mv2.png"
Sustainability Page,"  AI-powered sustainability management platform for small businesses.
Website","Centralized, transparent business sustainability communication platform.",https://sustainabi.lity.page/,"https://static.wixstatic.com/media/080e50_eec73a9a571348eba94162391a8cbcb3~mv2.png/v1/fill/w_109,h_38,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/080e50_eec73a9a571348eba94162391a8cbcb3~mv2.png"
Sympower,"   We focus on the most challenging issue in the electricity system: real-time balancing of supply and demand.
Website",Sympower unlocks revenue streams by maximizing the value of flexibility across energy markets and industries.,https://www.sympower.net/,"https://static.wixstatic.com/media/1ad3d7_df7e24f991fa40c585e6b1eb46c31819~mv2.png/v1/fill/w_118,h_21,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/1ad3d7_df7e24f991fa40c585e6b1eb46c31819~mv2.png"
PowerUp Energy Technologies,"    We develop and produce high-quality and sustainable energy generation products and custom energy solutions.
Website",PowerUP produces fuel cell based portable generators. ,https://www.powerup-tech.com/,"https://static.wixstatic.com/media/1ad3d7_81e7da9cb74b4318a0f4ab89bf8e972b~mv2.png/v1/fill/w_118,h_35,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/1ad3d7_81e7da9cb74b4318a0f4ab89bf8e972b~mv2.png"
Fusebox,"  Fusebox pays you for going green! Fusebox integrates consumers and energy systems to enable better integration of renewables and reduce CO2.
Website",Fusebox integrates consumers and energy systems to enable better integration of renewables and reduce CO2. ,https://fusebox.energy/,"https://static.wixstatic.com/media/1ad3d7_db8961c43b814c8d800c0442cf9e541e~mv2.png/v1/fill/w_109,h_28,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/1ad3d7_db8961c43b814c8d800c0442cf9e541e~mv2.png"
Laava Tech,"  Laava Tech develops and manufactures smart LED lighting solutions for a variety of industries including vertical and hydroponics farms and insect protein operations.
Website",Laava Tech develops and manufactures smart LED lighting solutions.,https://laavatech.com/,"https://static.wixstatic.com/media/1ad3d7_4ae52f22102a433687c940b2150b99a3~mv2.png/v1/crop/x_29,y_0,w_957,h_314/fill/w_158,h_50,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/LaavaTech%20logo_printscreen.png"
Gelatex,"    High-capacity and easily scalable nanofiber manufacturing.
Up to 20 times faster than electrospinning.
Website",Revolutionising nanofiber production.,https://www.gelatex.com/,"https://static.wixstatic.com/media/6031be_bc7a7f7042684d05878948cddf86072d~mv2_d_3560_1289_s_2.jpg/v1/fill/w_127,h_46,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/6031be_bc7a7f7042684d05878948cddf86072d~mv2_d_3560_1289_s_2.jpg"
Beast,"  Speeding up the process of switching to electric vehicles by actively battling bias and transforming the concept and necessity of vehicle ownership. 
  Website",Rent a Tesla in less than 5 minutes,https://beast.rent/,"https://static.wixstatic.com/media/1ad3d7_96400cb312ec471d87f00d2ef2f35a0e~mv2.jpg/v1/fill/w_89,h_86,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/1ad3d7_96400cb312ec471d87f00d2ef2f35a0e~mv2.jpg"
